scenario,algorithm,metric,n_seeds,mean,sd,ci95_low,ci95_high
baseline,DQN,total_simulated_energy_kwh,5,19.50473236111111,0.1161198547002491,19.36055051805316,19.64891420416906
baseline,DQN,mean_comfort_deviation_c,5,0.2457155750511888,0.06859644221800736,0.1605418423442243,0.3308893077581533
baseline,DQN,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
baseline,DQN,mean_daily_episode_return,5,-113.74646159585907,18.996192100660185,-137.33334943021157,-90.15957376150659
baseline,DQN,population_sd_daily_episode_return,5,22.03501177972657,6.352108552474149,14.147827277437194,29.922196282015946
baseline,DQN,eei_pct_points_per_kwh,5,5.078905585043171,0.030278030606218823,5.041310444502917,5.116500725583425
baseline,DQN,peak_simulated_power_w,5,64.49444444444445,0.0,64.49444444444445,64.49444444444445
baseline,PPO,total_simulated_energy_kwh,5,18.99549497685185,0.3196418076801464,18.59860725193464,19.392382701769062
baseline,PPO,mean_comfort_deviation_c,5,0.23917135687779162,0.07225384156334896,0.14945636307666244,0.3288863506789208
baseline,PPO,comfort_rate_pct,5,98.6552217453505,0.9048466371243761,97.53170625213743,99.77873723856358
baseline,PPO,mean_daily_episode_return,5,-109.5555805112795,20.231421133639916,-134.67620776541898,-84.43495325714004
baseline,PPO,population_sd_daily_episode_return,5,23.335918213440614,11.987394383145773,8.45160217561849,38.22023425126274
baseline,PPO,eei_pct_points_per_kwh,5,5.194948497173556,0.10962822362561093,5.058827078710603,5.331069915636508
baseline,PPO,peak_simulated_power_w,5,64.49444444444445,0.0,64.49444444444445,64.49444444444445
