Scenario,Configuration,PPO Energy (kWh) mean ± SD,DQN Energy (kWh) mean ± SD,Holm p — Energy (kWh),PPO Comfort deviation (°C) mean ± SD,DQN Comfort deviation (°C) mean ± SD,Holm p — Comfort deviation (°C),PPO Comfort rate (%) mean ± SD,DQN Comfort rate (%) mean ± SD,Holm p — Comfort rate (%),PPO Daily return mean ± SD,DQN Daily return mean ± SD,Holm p — Daily return
env_response_minus20,"Environment sensitivity: η_ext, η_occ, and cooling coefficients ×0.8",18.998 ± 0.151,19.500 ± 0.303,1.96e-04,0.180 ± 0.009,0.263 ± 0.051,2.29e-05,98.712 ± 0.000,98.712 ± 0.000,N/A,-93.384 ± 2.508,-118.509 ± 13.054,2.29e-05
baseline,"Baseline: α=1.0, β=0.5, bonus=0.2; original environment",18.995 ± 0.320,19.505 ± 0.116,3.05e-05,0.239 ± 0.072,0.246 ± 0.069,0.4683,98.655 ± 0.905,99.060 ± 0.000,0.0539,-109.556 ± 20.231,-113.746 ± 18.996,0.3081
env_response_plus20,"Environment sensitivity: η_ext, η_occ, and cooling coefficients ×1.2",18.873 ± 0.332,19.357 ± 0.335,5.88e-04,0.303 ± 0.065,0.332 ± 0.229,5.88e-04,99.264 ± 0.000,97.654 ± 3.601,5.88e-04,-126.009 ± 17.318,-137.271 ± 62.838,6.10e-05
