scenario,metric,n_paired_dates,ppo_daily_mean,dqn_daily_mean,median_paired_difference_ppo_minus_dqn,wilcoxon_statistic,p_value_two_sided
baseline,daily_energy_kwh,18,1.0553052764917696,1.0835962422839507,-0.028081956018518595,0.0,7.62939453125e-06
baseline,daily_comfort_deviation_c,18,0.32099252039191417,0.3274662683428972,-0.01087876832905113,68.0,0.468292236328125
baseline,daily_comfort_rate_pct,18,96.8832124362636,97.26522504368846,0.0,0.0,0.017960477526078766
baseline,daily_episode_return,18,-109.55558051127952,-113.74646159585907,5.171882574897424,52.0,0.15404510498046875
reward_alpha_0p5,daily_energy_kwh,18,1.050498051697531,1.0659050578703706,-0.014645613425925741,0.0,0.0001960933545337302
reward_alpha_0p5,daily_comfort_deviation_c,18,0.29590583210908034,0.36585827870092685,-0.06715338611109796,0.0,7.62939453125e-06
reward_alpha_0p5,daily_comfort_rate_pct,18,97.26522504368846,97.26522504368846,0.0,0.0,
reward_alpha_0p5,daily_episode_return,18,-72.79757447645424,-84.05188961434831,11.303257806248162,0.0,7.62939453125e-06
reward_beta_1p0,daily_energy_kwh,18,1.0322096965020577,1.0491544174382714,-0.017467245370370144,1.0,0.00023283060521051094
reward_beta_1p0,daily_comfort_deviation_c,18,0.38871365985334116,0.5315063259052492,-0.1485925075507842,0.0,7.62939453125e-06
reward_beta_1p0,daily_comfort_rate_pct,18,97.26522504368846,96.69645870061152,0.34722222222222854,0.0,0.0006516660806139112
reward_beta_1p0,daily_episode_return,18,-221.9961374453811,-264.1125155545605,46.99789095279027,0.0,7.62939453125e-06
reward_bonus_0p0,daily_energy_kwh,18,1.0515878883744856,1.0786098662551442,-0.022035601851851716,0.0,7.62939453125e-06
reward_bonus_0p0,daily_comfort_deviation_c,18,0.5943304376223898,0.3405723969941757,0.24785352064320076,0.0,7.62939453125e-06
reward_bonus_0p0,daily_comfort_rate_pct,18,95.17473459741181,97.26522504368846,-2.118055555555557,0.0,0.00028961940975555264
reward_bonus_0p0,daily_episode_return,18,-240.90969124174327,-171.19971443002802,-69.1978239359335,0.0,7.62939453125e-06
env_response_minus20,daily_energy_kwh,18,1.0554396399176955,1.0833275154320987,-0.0264695949074073,0.0,0.00019575042504300203
env_response_minus20,daily_comfort_deviation_c,18,0.2884981269627769,0.36756079571982925,-0.08182260075637886,0.0,7.62939453125e-06
env_response_minus20,daily_comfort_rate_pct,18,96.32159679079066,96.32159679079066,0.0,0.0,
env_response_minus20,daily_episode_return,18,-93.38351619054444,-118.50902183105889,26.027409017837044,0.0,7.62939453125e-06
env_response_plus20,daily_energy_kwh,18,1.0485124588477366,1.0754150025720164,-0.027141412037036905,0.0,0.0001960933545337302
env_response_plus20,daily_comfort_deviation_c,18,0.3658585219654301,0.39264291837710413,-0.020949237129698567,12.0,0.0005340576171875
env_response_plus20,daily_comfort_rate_pct,18,97.7663151702246,96.24243631492644,1.5972222222222214,0.0,0.00029247830381213256
env_response_plus20,daily_episode_return,18,-126.00934176067601,-137.27098713760037,10.122107492038538,1.0,1.52587890625e-05
